start,end,index_real,index_nullA,index_nullB,gap_nullA,gap_nullB,pearson
2023-12-15 19:00:00+00:00,2024-02-13 19:00:00+00:00,0.8167881170438841,0.7450960673165781,0.7641250164307136,0.07169204972730603,0.05266310061317048,0.7321072912083989
2023-12-16 19:00:00+00:00,2024-02-14 19:00:00+00:00,0.8094466910749197,0.7440819935762595,0.8183151669915506,0.06536469749866025,-0.008868475916630869,0.7340337914852935
2023-12-17 19:00:00+00:00,2024-02-15 19:00:00+00:00,0.8084570707057023,0.7419010075992032,0.7896679486335324,0.06655606310649909,0.018789122072169873,0.7351988586568272
2023-12-18 19:00:00+00:00,2024-02-16 19:00:00+00:00,0.8079628252928538,0.7393377175798136,0.7725648716887558,0.0686251077130402,0.03539795360409803,0.7335322934868149
2023-12-19 19:00:00+00:00,2024-02-17 19:00:00+00:00,0.8127732508242336,0.7436991580202337,0.7694457525800725,0.0690740928039999,0.043327498244161045,0.728507629385913
2023-12-20 19:00:00+00:00,2024-02-18 19:00:00+00:00,0.8127441258086447,0.7450875959272616,0.7976010776682534,0.06765652988138315,0.015143048140391357,0.7259657950595146
2023-12-21 19:00:00+00:00,2024-02-19 19:00:00+00:00,0.8125029353589819,0.7488331839230185,0.8018525422030934,0.06366975143596343,0.010650393155888449,0.7244272849771136
2023-12-22 19:00:00+00:00,2024-02-20 19:00:00+00:00,0.8127277591970389,0.7433398945281922,0.7723956671712447,0.06938786466884672,0.04033209202579413,0.7329999752484492
2023-12-23 19:00:00+00:00,2024-02-21 19:00:00+00:00,0.8105814325254606,0.7417840986678911,0.7722987718281381,0.06879733385756948,0.038282660697322446,0.7356691741922934
2023-12-24 19:00:00+00:00,2024-02-22 19:00:00+00:00,0.8081776515224252,0.7364971506037359,0.770862363433762,0.07168050091868927,0.037315288088663134,0.7374066692460248
2023-12-25 19:00:00+00:00,2024-02-23 19:00:00+00:00,0.8110444615524791,0.7379275044066859,0.8065021194388527,0.07311695714579325,0.004542342113626363,0.736474811758305
2023-12-26 19:00:00+00:00,2024-02-24 19:00:00+00:00,0.8130022086965196,0.7444001883951946,0.763192650303848,0.068602020301325,0.04980955839267165,0.7344170194758738
2023-12-27 19:00:00+00:00,2024-02-25 19:00:00+00:00,0.813906435433914,0.7438256977831675,0.753899877349864,0.07008073765074652,0.06000655808405009,0.7350591448105585
2023-12-28 19:00:00+00:00,2024-02-26 19:00:00+00:00,0.8102017728351331,0.7366432942283877,0.7572471765660741,0.07355847860674536,0.05295459626905896,0.7400875954821023
2023-12-29 19:00:00+00:00,2024-02-27 19:00:00+00:00,0.8133973263249704,0.7332136750931225,0.8048161933045856,0.0801836512318479,0.008581133020384768,0.7394714983100917
2023-12-30 19:00:00+00:00,2024-02-28 19:00:00+00:00,0.800010773712595,0.7199833294438306,0.7936637939002572,0.0800274442687644,0.006346979812337783,0.743326806925789
2023-12-31 19:00:00+00:00,2024-02-29 19:00:00+00:00,0.7851750658590094,0.7100137316318135,0.7571062063508661,0.07516133422719595,0.028068859508143307,0.7294864035566111
2024-01-01 19:00:00+00:00,2024-03-01 19:00:00+00:00,0.7847138741853222,0.7062202436453371,0.7477662495866623,0.07849363053998515,0.03694762459865997,0.7298457428729674
2024-01-02 19:00:00+00:00,2024-03-02 19:00:00+00:00,0.7865683990099449,0.7124808800658383,0.764550022977656,0.07408751894410659,0.022018376032288955,0.7275670530942973
2024-01-03 19:00:00+00:00,2024-03-03 19:00:00+00:00,0.7914777893158704,0.7283409052073512,0.7409389781281295,0.06313688410851925,0.05053881118774095,0.7164580935446178
2024-01-04 19:00:00+00:00,2024-03-04 19:00:00+00:00,0.7822222927694259,0.7267204196198952,0.7581701341995293,0.0555018731495307,0.02405215856989662,0.7126338973647031
2024-01-05 19:00:00+00:00,2024-03-05 19:00:00+00:00,0.8362990775390942,0.8120676183099336,0.8560166921173319,0.02423145922916059,-0.01971761457823773,0.7264841433770113
2024-01-06 19:00:00+00:00,2024-03-06 19:00:00+00:00,0.8493450484223625,0.7961700460059454,0.8277715157833355,0.05317500241641704,0.02157353263902695,0.7388803259970466
2024-01-07 19:00:00+00:00,2024-03-07 19:00:00+00:00,0.8468229882056516,0.7976150558503253,0.7980555055532775,0.04920793235532628,0.04876748265237407,0.7382676890113541
2024-01-08 19:00:00+00:00,2024-03-08 19:00:00+00:00,0.8483837439940615,0.7978598463285819,0.7852316865965263,0.0505238976654796,0.06315205739753516,0.7333479024414914
2024-01-09 19:00:00+00:00,2024-03-09 19:00:00+00:00,0.8438282522319899,0.7943617173398487,0.8431884517586264,0.049466534892141145,0.0006398004733634277,0.7341780414815746
2024-01-10 19:00:00+00:00,2024-03-10 19:00:00+00:00,0.8604231576736712,0.8061852416085465,0.880045739733575,0.054237916065124625,-0.01962258205990386,0.7737001285932539
2024-01-11 19:00:00+00:00,2024-03-11 19:00:00+00:00,0.8673955796640406,0.8099394857334244,0.7876138561607149,0.057456093930616126,0.07978172350332569,0.7903559143381212
2024-01-12 19:00:00+00:00,2024-03-12 19:00:00+00:00,0.8762346342756933,0.8194564575493131,0.8931431279688308,0.05677817672638019,-0.016908493693137516,0.7967369759538302
2024-01-13 19:00:00+00:00,2024-03-13 19:00:00+00:00,0.8823816936385906,0.8209518978898025,0.8767771635249295,0.06142979574878815,0.0056045301136611325,0.8028289202892834
2024-01-14 19:00:00+00:00,2024-03-14 19:00:00+00:00,0.8797612255946828,0.8225302049175259,0.8775471276266121,0.05723102067715691,0.002214097968070705,0.8067561851767809
